2023-06-12 10:37:07,701 INFO    StreamThr :18468 [internal.py:wandb_internal():86] W&B internal server running at pid: 18468, started at: 2023-06-12 10:37:07.701345
2023-06-12 10:37:07,704 DEBUG   HandlerThread:18468 [handler.py:handle_request():144] handle_request: status
2023-06-12 10:37:07,713 INFO    WriterThread:18468 [datastore.py:open_for_write():85] open: D:\EduHub\EduHub\wandb\run-20230612_103707-ht4oma2h\run-ht4oma2h.wandb
2023-06-12 10:37:07,717 DEBUG   SenderThread:18468 [sender.py:send():375] send: header
2023-06-12 10:37:07,844 DEBUG   SenderThread:18468 [sender.py:send():375] send: run
2023-06-12 10:37:09,033 DEBUG   HandlerThread:18468 [handler.py:handle_request():144] handle_request: check_version
2023-06-12 10:37:09,095 INFO    SenderThread:18468 [dir_watcher.py:__init__():219] watching files in: D:\EduHub\EduHub\wandb\run-20230612_103707-ht4oma2h\files
2023-06-12 10:37:09,095 INFO    SenderThread:18468 [sender.py:_start_run_threads():1124] run started: ht4oma2h with start time 1686546427.698567
2023-06-12 10:37:09,095 DEBUG   SenderThread:18468 [sender.py:send_request():402] send_request: summary_record
2023-06-12 10:37:09,111 INFO    SenderThread:18468 [sender.py:_save_file():1378] saving file wandb-summary.json with policy end
2023-06-12 10:37:09,111 DEBUG   SenderThread:18468 [sender.py:send_request():402] send_request: check_version
2023-06-12 10:37:09,901 DEBUG   HandlerThread:18468 [handler.py:handle_request():144] handle_request: run_start
2023-06-12 10:37:09,949 ERROR   HandlerThread:18468 [gpu.py:is_available():339] Error initializing NVML: Insufficient Permissions
2023-06-12 10:37:09,964 DEBUG   HandlerThread:18468 [system_info.py:__init__():31] System info init
2023-06-12 10:37:09,964 DEBUG   HandlerThread:18468 [system_info.py:__init__():46] System info init done
2023-06-12 10:37:09,964 INFO    HandlerThread:18468 [system_monitor.py:start():181] Starting system monitor
2023-06-12 10:37:09,964 INFO    SystemMonitor:18468 [system_monitor.py:_start():145] Starting system asset monitoring threads
2023-06-12 10:37:09,964 INFO    HandlerThread:18468 [system_monitor.py:probe():201] Collecting system info
2023-06-12 10:37:09,980 DEBUG   HandlerThread:18468 [system_info.py:probe():195] Probing system
2023-06-12 10:37:09,995 INFO    SystemMonitor:18468 [interfaces.py:start():190] Started cpu monitoring
2023-06-12 10:37:09,995 INFO    SystemMonitor:18468 [interfaces.py:start():190] Started disk monitoring
2023-06-12 10:37:10,011 INFO    SystemMonitor:18468 [interfaces.py:start():190] Started memory monitoring
2023-06-12 10:37:10,027 INFO    SystemMonitor:18468 [interfaces.py:start():190] Started network monitoring
2023-06-12 10:37:10,043 DEBUG   HandlerThread:18468 [system_info.py:_probe_git():180] Probing git
2023-06-12 10:37:10,105 INFO    Thread-16 :18468 [dir_watcher.py:_on_file_created():278] file/dir created: D:\EduHub\EduHub\wandb\run-20230612_103707-ht4oma2h\files\wandb-summary.json
2023-06-12 10:37:10,245 DEBUG   HandlerThread:18468 [system_info.py:_probe_git():188] Probing git done
